formula racing,0.6762,8258.25,9509.5,racing
compact sport utility vehicle,0.7472,15348.666,16391.375,car
formula one tyres,0.4714,6798.458,7257.25,tire
open wheel car,0.6422,6798.458,7257.25,car
sport utility vehicle,0.5695,15348.666,16391.375,car
race car,0.6955,6798.458,7257.25,sports car
automotive tire,0.3794,6798.458,7257.25
car,0.4977,4170.833,5046.708,vehicle
mini sport utility vehicle,0.7062,15348.666,16391.375,car
windshield,0.7237,7298.958,8216.541,window
light emitting diode,0.475,4170.833,5046.708,light bulb
vehicle,0.8578,0.0,2627.625
automotive lighting,0.7012,4170.833,5046.708
sports,0.5392,6798.458,7257.25
automotive tail & brake light,0.5674,4170.833,5046.708
tire,0.4865,6798.458,7257.25
formula one,0.6839,6798.458,7257.25,racing
racing,0.9371,6798.458,7257.25,sports
indycar series,0.3983,8258.25,9509.5,racing
motor vehicle,0.8245,7298.958,8216.541,vehicle
light,0.3325,2669.333,4129.125
formula one car,0.5616,6798.458,7257.25,race car
asphalt,0.5616,6798.458,7257.25
automotive design,0.4023,7298.958,8216.541
brand,0.3893,18393.375,19978.291
auto racing,0.8659,6798.458,7257.25,racing
compact mpv,0.3025,15348.666,16391.375,car
race track,0.7847,6798.458,7257.25,structure
automotive window part,0.5226,7298.958,8216.541
motorsport,0.7462,6798.458,7257.25,sports
land vehicle,0.6393,9551.208,13471.791,vehicle
